,Tuition,UG,SAT_AVG_ALL,PCTPELL
148,15850.0,222.0,1009.0,0.5747
149,14221.0,28252.0,1179.0,0.3858
150,31097.0,1572.0,1134.0,0.2165
151,11820.0,987.0,781.0,0.816
152,11679.0,10707.0,966.0,0.6113
153,13427.0,17496.0,1047.0,0.3958
154,21426.0,1830.0,1071.0,0.3027
155,21025.0,537.0,1008.0,0.3387
156,16376.0,581.0,928.0,0.3769
157,28474.0,2033.0,1194.0,0.2167
158,12427.0,26222.0,1090.0,0.5526
159,24482.0,2334.0,1172.0,0.2878
160,15664.0,27021.0,1215.0,0.3182
161,12022.0,32680.0,1272.0,0.3029
162,32746.0,8955.0,1319.0,0.1611
163,13621.0,10663.0,1140.0,0.3141
164,23765.0,4110.0,1130.0,0.4212
165,21934.0,1964.0,1065.0,0.337
166,11232.0,27384.0,1167.0,0.407
167,25116.0,1221.0,924.0,0.4696
168,21534.0,1232.0,955.0,0.4095
169,27580.0,2961.0,1092.0,0.2415
170,13286.0,362.0,845.0,0.6346
171,17952.0,147.0,898.0,0.6463
172,15393.0,1001.0,879.0,0.6879
173,23029.0,419.0,902.0,0.4294
174,11184.0,6753.0,1053.0,0.4165
175,8367.0,2630.0,933.0,0.4586
176,12439.0,3129.0,883.0,0.7313
177,19265.0,4988.0,997.0,0.4587
178,15977.0,385.0,910.0,0.5867
179,32947.0,4030.0,850.0,0.718
180,21181.0,1822.0,1179.0,0.2451
181,25218.0,1469.0,990.0,0.5031
182,12572.0,1912.0,935.0,0.5096
183,11422.0,4450.0,961.0,0.4702
184,23742.0,1074.0,1189.0,0.2733
185,15219.0,786.0,930.0,0.4877
186,25941.0,6316.0,1366.0,0.2032
187,14782.0,2212.0,865.0,0.7577
188,11574.0,10745.0,1403.0,0.1699
189,12644.0,1981.0,967.0,0.4622
190,17283.0,3976.0,1143.0,0.203
191,16963.0,12648.0,1089.0,0.3796
192,14290.0,16444.0,1056.0,0.5268
193,12023.0,24213.0,1252.0,0.2292
194,11187.0,2890.0,851.0,0.5503
195,20328.0,876.0,1012.0,0.4409
196,20423.0,2156.0,1217.0,0.3475
197,29796.0,2970.0,978.0,0.4931
198,19936.0,1169.0,1140.0,0.394
199,18387.0,163.0,749.0,0.7993
200,16424.0,1026.0,995.0,0.4737
201,20310.0,1108.0,953.0,0.4303
202,36902.0,4249.0,1064.0,0.2471
203,11009.0,2070.0,847.0,0.745
204,18864.0,1889.0,969.0,0.4743
205,34232.0,1888.0,1015.0,0.4815
206,18783.0,900.0,997.0,0.4859
207,17464.0,2033.0,938.0,0.2183
208,13990.0,7482.0,993.0,0.4708
209,15365.0,7109.0,945.0,0.4941
210,16074.0,620.0,974.0,0.39
211,20543.0,2038.0,966.0,0.436
212,11029.0,2646.0,926.0,0.4839
213,13441.0,11721.0,1067.0,0.3105
214,21477.0,128.0,1045.0,0.659
215,13718.0,14756.0,1046.0,0.3312
216,13709.0,8759.0,1061.0,0.3925
217,14916.0,2693.0,939.0,0.3529
218,19432.0,1110.0,1056.0,0.3543
219,8667.0,8949.0,1040.0,0.3968
220,39613.0,2053.0,1155.0,0.1883
221,17494.0,1316.0,990.0,0.4156
222,13721.0,540.0,1005.0,0.5675
223,26533.0,5116.0,1163.0,0.2352
224,11689.0,5060.0,875.0,0.7078
225,25883.0,4008.0,1506.0,0.1114
226,17938.0,1280.0,1047.0,0.4265
227,16174.0,9346.0,1010.0,0.4024
228,20678.0,2484.0,1090.0,0.3228
229,15133.0,498.0,1033.0,0.4127
230,18082.0,3020.0,911.0,0.5305
231,19683.0,1134.0,1022.0,0.3898
232,31188.0,220.0,1048.0,0.5752
233,13527.0,16140.0,1092.0,0.5159
234,18143.0,28414.0,1305.0,0.2049
235,27169.0,2027.0,1249.0,0.1939
236,18854.0,1736.0,1251.0,0.2836
237,20437.0,18025.0,1090.0,0.2725
238,19500.0,1111.0,1086.0,0.4199
239,19809.0,3327.0,1051.0,0.3165
240,21173.0,653.0,1013.0,0.4747
241,15923.0,1010.0,824.0,0.5839
242,31149.0,7141.0,1195.0,0.2647
243,18595.0,739.0,922.0,0.5686
244,18733.0,1993.0,1006.0,0.3641
245,20429.0,2307.0,1069.0,0.42
246,14528.0,1069.0,1070.0,0.4437
247,22627.0,2117.0,1125.0,0.2502
248,18443.0,1655.0,1014.0,0.3986
249,19259.0,17151.0,1029.0,0.4452
250,28155.0,9013.0,1460.0,0.1376
251,15591.0,8324.0,870.0,0.4856
252,20091.0,1874.0,1078.0,0.3175
253,17102.0,1041.0,1010.0,0.4038
254,21201.0,1100.0,1007.0,0.5151
255,22229.0,4665.0,1038.0,0.4558
256,18246.0,1127.0,1010.0,0.5058
257,17613.0,2858.0,1069.0,0.3842
258,16330.0,2611.0,990.0,0.5192
259,12566.0,2118.0,1068.0,0.3782
260,16048.0,17788.0,1032.0,0.4283
261,16712.0,9576.0,1070.0,0.3601
262,21042.0,854.0,1097.0,0.3523
263,20468.0,1089.0,1042.0,0.4662
